NO,ID,LERI,Order,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,fsr8,fsr9,fsr10,fsr11,fsr12,fsr13,fsr14,fsr15,fsr16,fsr17,fsr18,fsr19,fsr20,fsr21,fsr22,fsr23,fsr24,fsr25,fsr26,fsr27,fsr28,fsr29,fsr30,fsr31,fsr32,fsr33,fsr34,fsr35,fsr36,fsr37,fsr38,fsr39,fsr40,time
NO,4,2,3,0,14.51451613,6.547096774,0,16.04967742,15.5216129,10.15064516,3287.798065,56.77935484,3471.070968,3702.71129,1.397419355,628.9667742,4714.940645,2334.722258,2725.67,0.030645161,130.843871,254.8377419,323.8525806,0.046774194,50.12258065,310.7322581,66.40193548,0.006451613,88.6216129,4.687419355,0,0,987.3122581,73.07677419,0,0.014516129,2066.018387,55.99806452,0,0,24.61290323,0,0,1.5418
NO,4,2,4,1.863888889,71.08111111,28.15083333,0,73.36694444,0,0.005555556,619.2669444,866.0330556,6035.668333,4165.141944,11.82472222,334.5841667,725.7963889,1686.905833,3627.54,0,36.49888889,370.8519444,456.0186111,0,94.74416667,651.6819444,19.59361111,0,86.8125,4.346111111,0,0,1423.633611,131.4983333,0,0.005555556,2846.811389,52.30027778,0,0,0,0,0,1.616761
NO,4,2,5,0,0,0,0,1233.343077,0,24.68230769,2905.295769,112.1111538,5454.826538,4542.751154,16.95461538,1254.943846,3102.973462,3110.492308,1849.155,0.007692308,81.94346154,246.3073077,462.755,0,35.26923077,379.4623077,58.21461538,0,33.62846154,3.326153846,0,0,1082.520769,285.2265385,0,0,2429.330769,421.7196154,0,0,22.26153846,0,0,1.187998
NO,4,2,6,0,15.726,2.6444,0,6.1276,0,8.28,2694.9912,304.8408,4086.7832,3750.7784,10.7116,36.3076,744.8308,1916.8476,3131.376,0,36.2592,316.7324,477.9256,0.1064,82.1916,788.4932,4.3912,0,157.0384,9.792,0,32.5716,1332.9512,15.3708,0,665.1648,2427.608,0.032,0,0,0,0,0,1.265729
NO,4,2,7,0,0,0,0,47.37277778,61.09861111,596.3730556,0,2.836111111,25.96694444,2.061111111,28.49916667,4576.996111,7376.039444,3503.374722,29.02694444,1.577222222,1023.081667,795.4233333,3349.481111,0,42.59277778,369.2019444,85.40277778,0,41.73416667,7.338055556,0,0.019444444,208.6063889,88.91277778,0,0.091944444,1319.458333,57.37055556,0,0.005555556,1221.838611,6.949722222,0,1.590806
NO,4,2,8,0,76.77791667,102.695,0,0.008333333,12.00375,0.058333333,1604.92375,9.379166667,4857.229167,4343.76125,62.3225,0.008333333,2010.359167,282.1554167,1872.627917,0,9.164583333,101.8883333,494.0129167,0.01875,17.77083333,354.3745833,514.7558333,0,42.87916667,7.845,0,0,1707.34625,762.5058333,0,0.008333333,2498.76125,621.055,0,0,0,0,0,1.015159
NO,4,2,9,46.81757576,730.2509091,97.02969697,0,10.94424242,47.61666667,0.444242424,20.81606061,2016.150606,4197.747576,2684.604848,27.80848485,6.236969697,145.0187879,374.4990909,1826.620303,0,30.62909091,231.7087879,152.2893939,0,41.72939394,330.1739394,28.91787879,0,131.7251515,10.12151515,0,0.006060606,2720.474545,1796.833636,0,0,3212.338485,1064.864242,0,0,0.043939394,0,0,1.414922
NO,4,2,10,0.06,309.2633333,0.023333333,0,1668.327667,0.021666667,17.557,7.777666667,1197.796667,5464.948,853.543,11.08933333,3721.579667,2488.779333,3103.954333,525.882,0.006666667,172.8696667,346.5863333,53.85666667,0.031666667,68.644,647.295,0.582333333,0,64.40433333,7.938,0,0.006666667,1617.091667,76.658,0,0.320333333,3749.156,63.65266667,0,0,237.327,0,0,1.329421
NO,4,2,11,0,32.32076923,398.9084615,0.121538462,28.89846154,0,0,1494.988077,72.99961538,2451.174615,5616.352692,31.16230769,10.57384615,717.0842308,328.2226923,3143.614615,0.007692308,2.836153846,61.88307692,503.5934615,0,7.178846154,160.4684615,404.8357692,0,6.920769231,9.991153846,0,0,941.5011538,597.7630769,0,0,2129.560385,1172.574231,0,0,0,0,0,1.127869
NO,4,2,12,0,2.994814815,0.99037037,0,2703.285556,0,11.38407407,1208.331481,1748.42963,4856.108148,603.5862963,19.1937037,1606.079259,1983.188148,749.5133333,290.5059259,0,27.81481481,97.88777778,49.85185185,0.014814815,23.8562963,244.8933333,19.06,0.007407407,37.96592593,8.49,0,0.025925926,663.0922222,49.63333333,0,0,941.37,50.52,0,0,0,0,0,1.153084
NO,4,2,13,0,0.036538462,0.211538462,0.007692308,0.090384615,3966.241154,205.4657692,5.555384615,0.073076923,68.14615385,42.06076923,78.76576923,8.813076923,11548.07615,3018.283846,100.0726923,0,1497.145769,79.39730769,522.4707692,0,0.233076923,50.87923077,221.0392308,0,1.005769231,4.644230769,177.5176923,0.007692308,16.78115385,144.8346154,10.16807692,0,57.34269231,723.3942308,0.046153846,0,31.45423077,1281.223077,0,1.094205
NO,4,2,14,0.014814815,2050.794444,1810.272963,0.007407407,0.025925926,17.74925926,0.007407407,1250.35963,0.211111111,3548.837407,4665.903704,86.9562963,0.035185185,2139.791852,186.4066667,1081.178889,0.007407407,0.731111111,46.80444444,180.5811111,0.016666667,2.916296296,94.70814815,291.8088889,0.087037037,6.064074074,5.828148148,2.347407407,0,396.3174074,302.3051852,0,0.007407407,1015.566296,568.4333333,0,0,0.035185185,0,0,1.193804
